subject,world,path,squaretype,nodeName,availableChildName,nodeValue,chosen,ncells,nsteps,nstepsfromroot
S96025731,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S40075314,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S40075314,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S40075314,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S2812871,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S2812871,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S94003603,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S94003603,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S96801013,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S96801013,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S96801013,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S42579176,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S42579176,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S42579176,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S91150056,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S91150056,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S50703067,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S50703067,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S13676248,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S13676248,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S13676248,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S1925551,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S1925551,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S1925551,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S8213306,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S8213306,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S29147503,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S29147503,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S59709097,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S59709097,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S26762995,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S26762995,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S26762995,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S70125846,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S70125846,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S38808275,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S38808275,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S38808275,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S15992896,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S15992896,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S15992896,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S97576529,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S97576529,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S97576529,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S43329812,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S43329812,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S43329812,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S69282470,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S69282470,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S69282470,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S30232939,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S30232939,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S30232939,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S17409258,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S17409258,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S17409258,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S26390707,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S26390707,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S23160829,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S23160829,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S23160829,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S2562215,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S2562215,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S29783971,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S29783971,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S29783971,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S96288085,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S96288085,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S26848889,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S26848889,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S26848889,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S83711183,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S83711183,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S83711183,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S63890076,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S63890076,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S63890076,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S31642753,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S31642753,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S88398768,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S88398768,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S88398768,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S89949743,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S89949743,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S89949743,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S17992293,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S17992293,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S75120983,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S75120983,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S75120983,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S80470082,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S80470082,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S30634664,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S30634664,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S30634664,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S94893237,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S94893237,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S94893237,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S85705848,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S85705848,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S8857646,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S8857646,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S8857646,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S14639772,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S14639772,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S14639772,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S9664755,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S9664755,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S9664755,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S78726610,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S78726610,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S12191702,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S12191702,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S12191702,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S49923888,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S49923888,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S49923888,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S72521759,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S72521759,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S72521759,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S12590238,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S12590238,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S61913516,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S61913516,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S61913516,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S31520197,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S31520197,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S86178371,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S86178371,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S9302220,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S9302220,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S51693885,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S51693885,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S51693885,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S99991343,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S99991343,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S99991343,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S84565588,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S84565588,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S84565588,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S56618969,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S56618969,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S56618969,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S57356312,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S57356312,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S57356312,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S24416072,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S24416072,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S84421241,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S84421241,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S84421241,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S96682031,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S96682031,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S52166887,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S52166887,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S52166887,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S41326310,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S41326310,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S29601985,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S29601985,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S29601985,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S78533889,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S78533889,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S78533889,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S13364978,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S13364978,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S13364978,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S8758558,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S8758558,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S30730813,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S30730813,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S55576192,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S55576192,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S68573742,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S68573742,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S68573742,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S48638766,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S48638766,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S48638766,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S9401020,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S9401020,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S9401020,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S44804838,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S44804838,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S34813648,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S34813648,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S85185002,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S85185002,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S85185002,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S34482687,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S34482687,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S34482687,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S35976932,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S35976932,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S35976932,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S55747864,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S55747864,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S55747864,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S26897955,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S26897955,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S26897955,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S12883980,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S12883980,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S74799945,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S74799945,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S74799945,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S84991550,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S84991550,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S57902087,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S57902087,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S57902087,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S2356784,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S2356784,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S33219199,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S33219199,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S33219199,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S6630129,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S6630129,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S6630129,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S19546166,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S19546166,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S86127751,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S86127751,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S86127751,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S55878958,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S55878958,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S98816579,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S98816579,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S98816579,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S97888932,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S97888932,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S97888932,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S47684253,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S47684253,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S89474632,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
