subject	date	ip	didPractice	quizAttempts	age	gender	CRT1	CRT2	CRT3	comment
S2812871	09/February/2021	73.193.30.110	TRUE	1	27	F	6 hours	10 hours	$1	 I would try to go towards an area that had a bigger amount of blocks to be revealed, because there would be a better chance of the exit being there. But if I was closer to an area with a smaller amount of blocks then I might go there first, on the way towards going to the bigger area. I guess it depended on amount of steps I would take vs amount of blocks I would reveal. If I could walk 2 steps and reveal 3 blocks or walk 8 steps and reveal 5 then I might do the 2 steps first.
S94003603	07/February/2021	173.21.196.105	TRUE	1	53	F	6 hours	10 hours	$11	 Straight to the largest section, unless there was a small section really close to check out first.
S96801013	07/February/2021	73.225.165.65	TRUE	1	54	F	7 hours	10 hours	$1	 I tried to check the closest black square first, then took the quickest route to check the others. Interesting study
S42579176	08/February/2021	67.242.56.2	TRUE	1	50	M	4 hours	10 minutes	$2.00	 It was pretty much random. It didn't seem like there was any kind of pattern developing, would need more mazes to confirm it. Thank you.
S84110968	26/October/2020	69.251.108.191	FALSE		25	F	4 hours	100 hours	1	 I went with my gut feeling to figure out where I thought the exit would be.
S91150056	16/November/2020	72.193.23.121	TRUE	1	53	M	6 hours	100	$2	 Not knowing where the red block was located, I focused on moving to areas that would expose the most blocks with the fewest moves.
S50703067	18/November/2020	67.176.76.48	TRUE	1	27	F	4	100	2	 I went where I would most likely put the exit
S13676248	19/November/2020	142.197.130.252	TRUE	1	58	F	4	10	2	 Trying to make as few moves as possible without having to go back
S1925551	08/February/2021	216.186.159.106	TRUE	1	65	F	7 hours	10 hours	$1.00	 I tried to go to the black boxes in the smallest amount of steps. I started with the black boxes closest to me.
S8213306	08/February/2021	75.4.196.114	TRUE	1	38	M	7 hours	10 hours	1.50	 Initially I wast going to the largest area of black squares, but that was not always giving me the fastest route to the ending.  I went back and forth between choosing the closest area, and the largest area, interchangeably. None thank you!
S29147503	08/February/2021	74.194.52.84	TRUE	1	25	F	6	10	1	 I tried to go for the largest area of black first
S59709097	19/November/2020	172.56.26.218	TRUE	1	37	F	6	10	1	 I looked to see how many steps and how many blacked out squares there were in each cluster.
S26762995	07/February/2021	73.161.247.123	TRUE	1	53	M	7 hours	10 hours	10	 Select a route with the least amount of backtracking
S70125846	08/February/2021	68.204.203.77	TRUE	1	42	M	2	100	1	 i used my intuition
S38808275	18/November/2020	104.231.89.23	TRUE	1	49	M	7	100	1	 I tried to limit the amount of time I would have to retrace my steps, even if that meant revealing just one black square.  Given equal choices I'd try to go the way that would reveal the most squares in one move. none
S15992896	09/February/2021	47.134.187.129	TRUE	1	40	F	10	100	6	 Own decisions I like this study
S97576529	07/November/2020	69.113.168.239	TRUE	1	39	M	6 hours	10 hours	1 dollar	 I was picking black squares closest to me first so that I won't have to come back to it later on. Thank You
S43329812	16/November/2020	212.162.151.86	TRUE	1	27	M	4	100	2	 intuition na
S69282470	08/February/2021	64.120.2.184	TRUE	1	29	F	4	10	2	 My own prediction Its an interesting survey
S30232939	18/November/2020	97.81.175.24	TRUE	1	53	M	6	10	2	 randomly
S17409258	18/November/2020	172.58.19.117	TRUE	1	42	F	7	10	1	 I wanted to check the closest dark spots first to minimizing backtracking. If there was a path from one dark spot to another, I used that route (check other squares along the way). Some were in the middle of the closest dark space and I chose pretty much at random in those situations. I wanted to check the closest dark spots first to minimizing backtracking. If there was a path from one dark spot to another, I used that route (check other squares along the way). Some were in the middle of the closest dark space and I chose pretty much at random in those situations.
S26390707	09/February/2021	104.193.58.75	TRUE	1	35	F	6 hours	100 hours	$1	 guessing, I just zoomed through I did it in a very intuitive way, did not count steps, only may be approximated them by eye.
S23160829	19/November/2020	74.67.45.4	TRUE	1	32	F	4	100	$2	 I partially chose at random, and I partially chose based on how long it would take to backtrack if I went the wrong way.
S2562215	07/November/2020	73.253.75.176	TRUE	1	24	F	6 hours	10 hours	11	 I just went with my gut.
S29783971	07/February/2021	73.46.79.2	TRUE	1	26	M	4	100	2	 The black spaces are closer to me. It was interesting.
S96288085	08/February/2021	108.41.104.169	TRUE	1	60	F	7 hours	10 hours	1.00	 I noticed that most of the time, the exit was located in the area where there was the greatest number of black squares, so I went in that direction first. No comment.
S26848889	07/November/2020	67.8.193.168	TRUE	1	50	F	7	100	2	 just looked at amount of moves and went from there
S83711183	09/February/2021	70.171.9.199	TRUE	1	28	M	6 hours	10 hours	$1	 I made decisions on which way to go based on the cost associated with checking each space.
S63890076	08/February/2021	24.140.34.25	TRUE	1	53	F	7	10	1.00	 I went to the ones closest and then worked it form there.
S31642753	07/February/2021	64.145.93.146	TRUE	1	31	M	7 hours	10	$1	 I just wanna check the bigger part first.
S88398768	09/February/2021	24.220.166.235	TRUE	1	42	F	6 hours	10 hours	$2	 none
S89949743	08/February/2021	8.46.120.244	TRUE	1	61	M	8	100	2	 target the red colour in need the step by step none
S17992293	08/February/2021	74.79.136.187	TRUE	1	29	M	7	100	1	 was just a guess to where the exit was n/a
S75120983	08/February/2021	24.96.75.62	TRUE	1	34	F	7 hours	10 hours	2 dollars	 Whichever black squares were closer I went to first.
S80470082	26/October/2020	73.225.165.65	FALSE		54	F	7 hours	10 hours	$1	 I went for the closest black square first so I could rule it out. interesting study
S30634664	09/February/2021	74.222.216.251	TRUE	1	43	F	7 hours	10 hours	$1	 I generally moved to the closest black squares to check them first. If there was no clear choice, I moved to the area with the greatest probability of having the red square.
S94893237	07/February/2021	24.60.247.22	TRUE	1	55	M	4 hours	10 hours	1 dollar	 I sometimes went to the closest spots to see if i could get a quick match, but if only one or two available, I went to a larger cluster nothing further to add
S85705848	07/November/2020	47.221.1.106	TRUE	1	37	M	4	100	2	 More black square
S8857646	08/February/2021	76.86.236.49	TRUE	1	29	M	16	100	2	 I wanted to make sure i got to every box.
S14639772	26/October/2020	66.31.48.108	FALSE		29	F	7	10	1	 I just went with my instincts and tried to figure it out.
S9664755	30/September/2020	128.12.246.112	TRUE	1	22	F	6 hours	10 hours	$1	 Usually explored black squares from closest to farthest, especially if there was a single black square to the side. In those case I would check that out first because I knew it would be worse if I walked away but then later had to come all the way back (basically thinking #noregrets).
S78726610	29/September/2020	18.29.22.69	TRUE	1	28	F	6 hours	10 hours	$1	 Looked at the ratio of black squares to number to steps to reach there. Everything looks great!
S12191702	18/November/2020	216.186.159.106	TRUE	1	65	F	7	10	1.00	 I guessed which black space was  more likely to contain the exit.
S49923888	08/February/2021	67.163.202.164	TRUE	1	38	F	7 hours	10 hours	2	 went which way I thought would have the exit
S72521759	09/February/2021	73.44.147.211	TRUE	1	45	F	6 hours	1 hour	1	 Usually went with the odds of where there were more hidden areas.  If there was a dark area a only a couple of spaces out of the way, I would always check it. Have a great day :)
S12590238	26/October/2020	35.137.59.85	FALSE		61	F	7	10	1	 I went to the largest area of black blocks.
S61913516	07/February/2021	24.208.204.197	TRUE	1	57	F	7	10	2	 I just used my instincts and tried to go the shortest way possible to hit all squares.
S31520197	08/February/2021	173.48.138.252	TRUE	1	64	M	7 hours	10 hours	1	 I tried to expose the most squares with the fewest steps.
S86178371	19/November/2020	68.63.20.188	TRUE	1	38	M	6 hours	10 hours	$1	 I tried to reduce my steps by going towards the areas with more total dark squares first.
S9302220	08/February/2021	142.196.151.58	TRUE	1	37	M	6	10 hours	2	 I went with my gut instincts on where to go.
S51693885	01/October/2020	73.227.254.84	TRUE	1	23	M	6 hours	100 hours (or 90 hours if they take the 10 scarves these other people already knitted)	$1	 Usually I looked for the largest patch of black and navigated there first. In some cases, investigating a small patch where the odd exit may be took only a few steps, so I would do a &quot;let me just check over here real quick&quot;. very fun game! when you presented the same corridor and I made the same mistakes I'd been making - really captured my day to day frustration on getting lost in the same place time and time again
S99991343	09/February/2021	45.4.199.87	TRUE	1	34	F	40	100	60	 good good
S84565588	08/February/2021	73.125.135.48	TRUE	1	26	M	6 hours	10 hours	1	 I checked the black squares that were closer to me so I could use fewer movements. Thanks!
S56618969	08/February/2021	71.8.121.116	TRUE	1	53	M	2	10	2	 random
S57356312	08/February/2021	71.29.24.163	TRUE	1	34	M	6 hours	10 hours	$1	 I basically flipped a coin in my head as to which black squares I wanted to reveal first. Sometimes it worked out for me, most of the time, it didn't.
S24416072	08/February/2021	71.139.113.117	TRUE	1	36	F	6 hours	10 hours	1 dollar	 Honestly for the most part i just kinda &quot;felt it out&quot; if that makes any sense? Sometimes it seemed obvious because it was rare for the exit to be in a small far away section because it usually was in a larger cluster. A few times it tricked me though.
S84421241	08/February/2021	73.223.196.37	TRUE	1	35	M	6 hours	10 hours	$1	 I didn't want to make a guess as to where the red square was, since it was completely random. I simply focused on uncovering all black squares as efficiently as possible and minimizing backtracking.
S96682031	09/February/2021	104.244.145.206	TRUE	1	41	F	4	10	2	 I basically just picked a direction randomly.
S52166887	09/February/2021	104.7.226.207	TRUE	1	59	F	7 hours	10	1	 probability and judgement none
S41326310	26/October/2020	142.197.208.134	FALSE		32	M	7 hours	10 hours	$1	 just went to the closest black squares first to try and uncover everything
S29601985	07/February/2021	104.231.89.23	TRUE	1	49	M	6	100	1	 I tried t minimize the amount of time I would have t retrace my steps if I went in the wrong direction.
S78533889	08/February/2021	172.221.230.165	TRUE	1	44	M	7	10	1	 At first, I went the way with more dark blocks (more probability of the exit) then I tried to memorize patterns
S13364978	07/February/2021	73.42.232.81	TRUE	1	36	M	7	10	2	 i go around na
S8758558	08/February/2021	108.200.221.90	TRUE	1	48	M	6 hours	10 hours	$1	 I first headed to the largest block of unknown squares and then went from there.
S30730813	26/October/2020	98.165.29.243	FALSE		25	F	7	10 hours	$1	 I tried to go towards the direction with the most black squares, or where I thought the highest chance of the exit was.
S55576192	26/October/2020	184.61.239.25	FALSE		38	F	7	10	1	 I tried to go where there were the most black boxes giving me the best chance of one of them being the exit.
S68573742	08/February/2021	192.161.252.225	TRUE	1	24	M	6	10	1.50	 I just went and checked the black squares if they made up a sizeable portion of total black squares
S48638766	19/November/2020	74.101.53.83	TRUE	1	32	M	7	100	2	 I counted the steps in each direction.
S9401020	08/February/2021	208.103.142.228	TRUE	1	23	M	6	10	1	 I namely worked off probability.
S44804838	09/February/2021	12.198.49.241	TRUE	1	42	M	6	100	2	 it depends upon the black squares like very much
S34813648	26/October/2020	98.243.241.7	FALSE		31	M	4 hours	10 hours	1 dollar	 I chose to go to the areas with the most amount of black squares because the odds were higher with the exit being there. none
S85185002	09/February/2021	72.229.168.172	TRUE	1	24	F	3	10 hours	2.00	 I just went with my gut
S34482687	19/November/2020	73.240.82.174	TRUE	1	33	M	7	10	1	 Based on how many squares would be uncovered, and which areas I was closest to, I weighed my options to minimize my steps thanks
S35976932	07/November/2020	184.91.109.132	TRUE	1	41	F	6 hours	10 hours	2	 I just tried to make as few moves as possible and followed my gut instinct.
S55747864	09/February/2021	185.209.178.58	TRUE	1	30	F	6	10	1	 It was random
S26897955	26/October/2020	76.185.187.47	FALSE		39	M	7	10	2	 I went to to nearest wall first and see if the door would show up if I was nearby. If you hit 34 steps the game locks up and you can't move unless you refresh the page
S12883980	08/February/2021	107.11.182.13	TRUE	1	45	F	7 hours	10 hours	1	 I went where there seemed like a better chance of finding a red square. I went where there seemed like a better chance of finding a red square.
S74799945	08/February/2021	67.185.7.242	TRUE	1	31	M	2	10 hours	4	 I tried to consider whether the route was worth checking if it meant I would have to double back, if given a choice between a direction with two black areas and a direction with just one I would try to pick the route with more black squares because the odds of it containing the exit were higher.
S84991550	19/November/2020	45.36.143.166	TRUE	1	43	M	7	10	1	 I tried to go where there were the most squares given each had an equal probability
S57902087	19/November/2020	142.197.136.1	TRUE	1	38	M	47	10	2	 Avoid risk Ty
S2356784	18/November/2020	98.212.214.93	TRUE	1	32	M	6 hours	10 hours	$1	 I tried to go in a direction where more black bricks are. More black bricks mean more chances of having exit there.
S33219199	08/February/2021	67.240.189.72	TRUE	1	27	F	4	10	1	 I wanted to be efficient about where I went, so I unveiled the squares closest to me before moving on to the others.
S6630129	09/February/2021	146.115.73.211	TRUE	1	27	M	6 hours	10 hours	$1	 I tried to make probabilistic decisions based on the idea that the location would be completely random. So in a situation where it would take 5 steps to reveal 10 hidden squares, and the only other hidden square was 12 steps away, I would take my chance ignoring the single far away square. On the other hand, if there were slightly more squares, say like 10, but 10 steps away, while 4 were 2 steps away, I wagered I'd better just reveal the 4 near hidden ones rather than have to backtrack if the exit did not happen to be in the 10 square cluster.
S19546166	07/November/2020	47.39.188.98	TRUE	1	54	F	7	10	2	 I tried to go to the direction where there were more black blocks which made me think I had a higher chance of finding the exit. thank you for the opportunity to participate
S86127751	09/February/2021	71.225.176.110	TRUE	1	32	M	4	10	1	 Whatever I thought would be the quickest path to the red door first
S55878958	08/February/2021	72.221.62.244	TRUE	1	35	F	6	10	1	 Sometimes I would go to the one that was closest to me, just to see if maybe it was near. Then I would just try to think about how there's a chance that the red square is not in as many clustered black squares, but I basically went with my gut feeling and usually was right a good bit of time especially once I started getting the hang of it, as I was able to get to the square without very many steps at all. So, If I saw two four black squares near each other, I would go to the bottom first, because those squares will light up when I get there and if the red square is at the bottom, I didn't take too many steps to get to it, and if it was somewhere in the other two 4 black squares that were near each other, I wouldn't have far to go to get to them. if that makes sense. Sorry, I have a difficult time explaining things.
S98816579	09/February/2021	107.15.174.79	TRUE	1	31	M	6 hours	100 hours	$2	 I tried to go to the closest black areas first as to not go to one end and then have to go all the way back.
S97888932	07/November/2020	45.52.57.221	TRUE	1	32	M	6 hours	10 hours	$1	 Closest usually got priority. Process of elimination.
S47684253	09/February/2021	74.75.42.26	TRUE	1	33	F	7	10	1	 I'd head to the biggest block of black
S89474632	09/February/2021	71.61.18.143	TRUE	1	39	M	7	10	1	 At first I started heading towards the largest groups of black squares, as they seemed to have the highest probability of revealing the exit. I wondered if the exit was placed randomly, or human-designed. I started to get the impression that they were all human placed. At first the exits seemed to be in large groups of black squares, but then there were a few maps where the exits were placed in less likely locations. They weren't super common, but there were enough thrown in there to make me question my original strategy. Because of this, I then started to play 'safer', where I would check out some of smaller clusters of black squares that were nearby earlier on. But in general, heading towards the largest cluster of black squares, and uncovering any smaller clusters along the way. Very fun and interesting maze game study. Thank you!
S53150339	09/February/2021	75.75.110.135	TRUE	1	67	M	7	10	1	 by repeated attempts very nice study !
S44310801	07/November/2020	5.181.234.84	TRUE	1	40	F	7	10	14	 I choose according to my choice
S40001880	26/October/2020	104.231.89.23	FALSE		49	M	4	100	1	 I tried to limit the amount of times I would double back over squares I had used already, even if was to investigate just one black square.
S15975550	18/November/2020	76.30.17.178	TRUE	1	78	M	16	10hours	1	 good good
S96558290	08/February/2021	24.101.43.42	TRUE	1	38	F	4	100	2	 I tried to rely on my intuition.
S21173502	09/February/2021	66.115.177.139	TRUE	1	26	F	7 hours	10 hours	$2	 I went through the spaces that had the most black pictures gathered (in parallel) because it was more likely that they had the exit of the labyrinth. And well, if I was wrong, I was just going the shortest way to find my way out. I really love your experiments!!
S1348601	26/October/2020	23.84.70.152	FALSE		25	F	1.25	10	1	 gut feeling
S12588186	08/February/2021	207.98.244.180	TRUE	1	30	M	7	100	11.50	 I didn't like being risky and not uncovering things that were near by just to save steps. I liked being thorough and less risky.
S99570039	08/February/2021	107.192.158.79	TRUE	1	36	M	7 hours	10 hours	$1	 For the most part I would go to the biggest area but if it was further away in steps I would check others first so I would not have to backtrack such a large distance.
S75163036	08/February/2021	69.151.220.81	TRUE	1	23	F	6 hours	10 hours	1$	 I tried to always go to the black squares that were the closest so that if they were wrong I would have to do the least amount of back tracking. This was a more enjoyable hit compared to most on Mturk, thank you!
S12508800	16/November/2020	71.114.74.204	TRUE	1	32	F	6	10	1	 I thought about where the biggest bodies of black squares are and tried those first
S72002294	07/February/2021	67.247.68.1	TRUE	1	27	M	6 hours	10 hours	$1	 I tried to minimize the expected number of steps needed to find the red square.
S40690866	07/November/2020	64.121.102.112	TRUE	1	29	M	7	100	1	 nearest first
S11207975	07/February/2021	97.95.115.55	TRUE	1	40	M	7 hours	10	1	 I tried to go with my gut feeling where I thought the red square would be.
S25371665	07/February/2021	73.61.11.34	TRUE	1	28	M	6 hours	10	2	 i took the fewest steps possible. way underpaid
S33556439	18/November/2020	67.164.74.58	TRUE	1	55	F	4	10	$1	 Most of the time the red box was in the area that was furthest away from where I was, so most of the time, I tried the furthest area first.
S38995809	09/February/2021	32.208.144.218	TRUE	1	39	M	7 hours	10 hours	$1	 I tried to minimize clicking. This would have been much better if we could use the arrow keys instead of so much clicking
